Data,latitude,longitude,confidence
2020-06-26,-3.8157,-38.5378,80.0
2019-07-18,-15.7893,-47.9258,84.0
2023-09-03,-20.4472,-54.7226,50.0
2023-11-15,-8.7936,-63.8458,72.0
2021-07-17,-15.7894,-47.9258,84.0
2024-07-17,-10.1478,-48.3144,75.0
2019-04-28,-7.1654,-34.8156,49.0
2021-02-08,-19.98,-43.9586,44.0
2020-06-20,-10.1907,-48.3018,69.0
2020-04-04,-2.5267,-44.2136,68.0
2021-05-06,-16.6428,-49.2202,78.0
2020-12-30,-22.3581,-49.0289,32.0
2024-04-26,-3.8158,-38.5378,80.0
2021-03-15,-22.3581,-49.0289,32.0
2019-07-08,-10.9524,-37.0543,0.0
2024-08-28,-27.6025,-48.62,63.0
2021-09-05,-8.0592,-34.9592,39.0
2020-12-09,-5.0347,-42.8014,62.0
2020-05-07,-22.3581,-49.0289,32.0
2023-06-05,-22.9883,-43.1906,0.0
2020-02-21,-9.5511,-35.7703,64.0
2021-04-20,-15.7894,-47.9258,84.0
2024-08-21,-22.9883,-43.1906,0.0
2022-11-02,-19.98,-43.9586,44.0
2024-06-10,-16.6428,-49.2203,78.0
2019-06-30,-9.5512,-35.7702,64.0
2019-10-29,-19.98,-43.9587,44.0
2023-01-03,-16.6428,-49.2203,78.0
2020-10-04,-2.5267,-44.2136,68.0
2023-04-22,-22.9883,-43.1906,0.0
2023-11-05,-15.5593,-56.063,77.0
2020-11-24,-9.5511,-35.7703,64.0
2020-04-12,-1.4112,-48.4395,27.0
2024-01-04,-15.6069,-56.0608,65.0
2020-08-28,-10.1907,-48.3018,69.0
2022-10-09,2.8169,-60.6908,0.0
2022-12-18,-10.9525,-37.0544,0.0
2019-10-19,-22.9883,-43.1906,0.0
2019-11-12,0.035,-51.0888,86.0
2023-02-10,-2.5267,-44.2136,68.0
2024-02-21,-7.1653,-34.8156,49.0
2023-02-17,-9.6797,-68.1653,71.0
2024-07-18,-2.5267,-44.2136,68.0
2020-11-30,-5.0347,-42.8014,62.0
2019-03-24,-8.7937,-63.8459,72.0
2023-07-27,-3.8158,-38.5378,80.0
2022-03-17,-30.0536,-51.1747,82.0
2019-08-14,-10.1907,-48.3018,69.0
2024-01-08,-3.1033,-60.0164,37.0
2024-05-03,-30.0536,-51.1747,82.0
2023-08-10,-22.9883,-43.1906,0.0
2023-07-26,-25.4486,-49.2306,79.0
